AMPCORR1	AMPCORR2	AMPCORR3	AMPCORR4	AMPCORR5	
0,7468	0,6892	0,6472	0,6182	0,6045	
0,6094	0,5602	0,5281	0,5073	0,4967	
0,6671	0,6216	0,592	0,5737	0,5651	
0,6603	0,6133	0,581	0,5601	0,5493	
0,666	0,6189	0,5858	0,5658	0,5569	
0,6536	0,6061	0,5712	0,5489	0,5391	
0,6039	0,5591	0,5267	0,5071	0,5008	
0,5794	0,5358	0,5083	0,493	0,489	
0,6188	0,5765	0,5498	0,5345	0,5296	
0,6602	0,6196	0,5936	0,5782	0,5722	
0,6737	0,6337	0,6076	0,5916	0,585	
0,6725	0,629	0,6003	0,5828	0,5753	
0,6526	0,6076	0,5783	0,5609	0,5537	
0,641	0,5963	0,5671	0,5508	0,5449	
0,6486	0,6035	0,5742	0,5579	0,5519	
0,649	0,6021	0,5714	0,5541	0,5478	
0,6277	0,581	0,5508	0,5342	0,5286	
0,6134	0,5675	0,5382	0,5222	0,5168	
0,605	0,5597	0,5316	0,5165	0,5116	
0,6077	0,5623	0,5341	0,5187	0,5134	
0,6073	0,562	0,5336	0,5181	0,5129	
0,6055	0,5608	0,5323	0,517	0,5119	
0,5983	0,5527	0,5239	0,5084	0,5033	
0,5985	0,5532	0,5244	0,5089	0,5038	
0,5971	0,5519	0,5237	0,5086	0,5036	
0,5936	0,548	0,5194	0,5043	0,4995	
0,5919	0,546	0,5173	0,5022	0,497	
0,5947	0,5484	0,5193	0,5038	0,4984	
0,6	0,5536	0,5244	0,5085	0,5026	
0,5937	0,5478	0,5196	0,5056	0,5011	
0,594	0,5483	0,5202	0,5063	0,5018	
0,5938	0,5481	0,5199	0,5057	0,5008	
0,5912	0,5453	0,5168	0,5026	0,4976	
0,5872	0,541	0,5124	0,4982	0,4933	
0,5834	0,5372	0,5089	0,4947	0,4899	
0,582	0,5357	0,5073	0,493	0,4881	
0,5816	0,5348	0,506	0,4913	0,4861	
0,5817	0,5346	0,5055	0,4905	0,4851	
0,5818	0,5343	0,5051	0,49	0,4846	
0,5766	0,5294	0,5004	0,4856	0,4806	
0,5735	0,5265	0,4977	0,4827	0,4779	
0,5723	0,5251	0,4963	0,4816	0,477	
0,5718	0,5247	0,4959	0,4812	0,4765	
0,5699	0,5227	0,4939	0,4794	0,475	
0,5696	0,5228	0,4942	0,4796	0,475	
0,5673	0,5209	0,4926	0,4782	0,4738	
0,5672	0,5208	0,4924	0,4779	0,4733	
0,5665	0,5203	0,4921	0,4776	0,4727	
0,5709	0,5247	0,4963	0,4814	0,4762	
