CORR	IUF	SV	CORRDV	CORRDVIUF	IUF2	AMPCORR	
0,5512	0,5664	0,7971	0,613	0,8278	0,7686	0,4502	
0,5449	0,527	0,7726	0,5993	0,7933	0,7533	0,4619	
0,6366	0,6121	0,8409	0,6868	0,8604	0,8254	0,5317	
0,6088	0,5878	0,8209	0,6742	0,8423	0,7991	0,5095	
0,5653	0,5536	0,7859	0,633	0,8062	0,7611	0,4797	
0,5513	0,5466	0,794	0,6214	0,8151	0,7652	0,4676	
0,538	0,5417	0,7848	0,6139	0,8074	0,7536	0,4577	
0,5311	0,5286	0,7715	0,6044	0,7927	0,7425	0,449	
0,5217	0,5187	0,7592	0,5936	0,7801	0,7307	0,4399	
0,5189	0,5173	0,763	0,5921	0,7855	0,7336	0,4359	
0,5054	0,5056	0,7502	0,5822	0,7725	0,7226	0,4266	
0,5043	0,5035	0,7457	0,5767	0,7681	0,7196	0,4227	
0,5066	0,5054	0,7396	0,5773	0,762	0,7146	0,4251	
0,5025	0,5023	0,7379	0,5774	0,7609	0,7123	0,4201	
0,5013	0,5008	0,7411	0,5814	0,7637	0,7146	0,4187	
0,4998	0,4998	0,7403	0,5806	0,7645	0,7128	0,4178	
0,5005	0,499	0,7453	0,58	0,7688	0,7175	0,4182	
0,4987	0,4993	0,7464	0,5775	0,7692	0,7183	0,4186	
0,5028	0,5034	0,7476	0,5815	0,7704	0,7209	0,4216	
0,4964	0,4975	0,7457	0,5757	0,7683	0,719	0,4162	
0,4945	0,4951	0,7468	0,5732	0,7698	0,7206	0,4159	
0,4976	0,5017	0,7495	0,5785	0,7725	0,723	0,4203	
0,4929	0,4963	0,7443	0,5729	0,7668	0,7181	0,4167	
0,4943	0,4994	0,7425	0,5758	0,7646	0,7161	0,4181	
0,4945	0,4986	0,7411	0,5753	0,763	0,7148	0,4179	
0,4903	0,4961	0,7378	0,573	0,7597	0,7115	0,4152	
0,488	0,4925	0,7371	0,5693	0,7586	0,7108	0,4135	
0,4889	0,4953	0,7385	0,5739	0,7597	0,7118	0,4138	
0,4868	0,4929	0,736	0,5711	0,7563	0,7097	0,4115	
0,4887	0,4954	0,7385	0,5724	0,7584	0,7124	0,4134	
0,4874	0,4937	0,7365	0,5708	0,7563	0,7102	0,4113	
0,4836	0,4906	0,7344	0,5692	0,7541	0,7076	0,4094	
0,4847	0,4913	0,7331	0,5695	0,7532	0,707	0,4099	
0,4893	0,4953	0,7372	0,5733	0,7574	0,7112	0,4141	
0,4874	0,496	0,7337	0,5715	0,754	0,7083	0,4122	
0,4903	0,4981	0,7391	0,5745	0,7592	0,7135	0,4154	
0,4903	0,498	0,7386	0,5745	0,7588	0,7132	0,4157	
0,4898	0,4974	0,7363	0,5733	0,7564	0,7111	0,4157	
0,4883	0,4952	0,734	0,5714	0,754	0,7089	0,4142	
0,49	0,4971	0,733	0,5729	0,7534	0,7084	0,4149	
0,4887	0,4945	0,7303	0,5708	0,7507	0,7061	0,4135	
0,4871	0,4925	0,728	0,5689	0,7484	0,7042	0,4122	
0,485	0,4909	0,7273	0,5673	0,7472	0,7035	0,4114	
0,4833	0,4896	0,7262	0,5668	0,7458	0,7027	0,4099	
0,4812	0,4871	0,7235	0,5647	0,7429	0,7002	0,4076	
0,4817	0,4866	0,7238	0,5652	0,7433	0,7003	0,4072	
0,4822	0,487	0,7236	0,565	0,743	0,7003	0,4074	
0,4833	0,4873	0,7236	0,5653	0,7432	0,7003	0,4074	
0,4843	0,4879	0,725	0,5657	0,7448	0,7016	0,4079	
0,4846	0,4879	0,7255	0,5658	0,7455	0,702	0,4083	
0,4856	0,4892	0,7265	0,5667	0,7465	0,7028	0,4094	
0,4872	0,4905	0,7271	0,5678	0,7469	0,7035	0,4108	
0,4867	0,4894	0,7244	0,5669	0,7439	0,7012	0,4098	
